pid,label,collection,subcollection,autor,year,moral,link
gigachadcountries.png,gigachad_countries,memes,Gigachad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/gigachad
gigachadmarx.png,gigachad_marx,memes,Gigachad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/gigachad
gigachadnazi.png,gigachad_nazi,memes,Gigachad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/gigachad
gigachadoriginal.png,gigachad_original,memes,Gigachad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/gigachad
gigchadmuslim.png,gigchad_muslim,memes,Gigachad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/gigachad
iqcueveacademia.png,iqcurve_academia,memes,IQ Curve Midwit,( ͡° ͜ʖ ͡°),2018,intelligence,https://knowyourmeme.com/memes/iq-bell-curve-midwit
iqcurvecoffee.png,iqcurve_coffee,memes,IQ Curve Midwit,( ͡° ͜ʖ ͡°),2018,intelligence,https://knowyourmeme.com/memes/iq-bell-curve-midwit
iqcurvehoeseshoe.png,iqcurve_hoeseshoe.gif,memes,IQ Curve Midwit,( ͡° ͜ʖ ͡°),2018,intelligence,https://knowyourmeme.com/memes/iq-bell-curve-midwit
iqcurvepiracy.png,iqcurve_piracy,memes,IQ Curve Midwit,( ͡° ͜ʖ ͡°),2018,intelligence,https://knowyourmeme.com/memes/iq-bell-curve-midwit
iqcurveschool.png,iqcurve_school,memes,IQ Curve Midwit,( ͡° ͜ʖ ͡°),2018,intelligence,https://knowyourmeme.com/memes/iq-bell-curve-midwit
smallbrainscreambrittish.png,smallbrain_palestine,memes,Small brain Scream,( ͡° ͜ʖ ͡°),2019,intelligence,https://knowyourmeme.com/memes/small-brain-man-screaming-at-big-brain-man
smallbrainspoliticalcompass.png,smallbrain_party,memes,Small brain Scream,( ͡° ͜ʖ ͡°),2019,intelligence,https://knowyourmeme.com/memes/small-brain-man-screaming-at-big-brain-man
smallbrainpalestine.png,smallbrain_sonic,memes,Small brain Scream,( ͡° ͜ʖ ͡°),2019,intelligence,https://knowyourmeme.com/memes/small-brain-man-screaming-at-big-brain-man
smallbrainparty.png,smallbrains_political_compass,memes,Small brain Scream,( ͡° ͜ʖ ͡°),2019,intelligence,https://knowyourmeme.com/memes/small-brain-man-screaming-at-big-brain-man
smallbrainsonic.png,smallbrainscream_brittish,memes,Small brain Scream,( ͡° ͜ʖ ͡°),2019,intelligence,https://knowyourmeme.com/memes/small-brain-man-screaming-at-big-brain-man
soyjackvocabulary.png,soyjack_vocabulary,memes,Soyjak,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/sites/soyjakparty
soyjaksvschadmusic.png,soyjak_list,memes,Soyjak,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/sites/soyjakparty
soyjaksreddit.png,soyjak_porn,memes,Soyjak,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/sites/soyjakparty
soyjakvschadmarxism.png,soyjak_quijote,memes,Soyjak,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/sites/soyjakparty
soyjakvschadpaleontology.png,soyjaks_reddit,memes,Soyjak,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/sites/soyjakparty
soyjakvschadpolitics.png,soyjaksvschad_music,memes,Soyjak vs Chad,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/soyjaks-vs-chads
soyjakvschadtext.png,soyjakvschad_marxism,memes,Soyjak vs Chad,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/soyjaks-vs-chads
soyjaklist.png,soyjakvschad_paleontology,memes,Soyjak vs Chad,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/soyjaks-vs-chads
soyjakporn.png,soyjakvschad_politics,memes,Soyjak vs Chad,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/soyjaks-vs-chads
soyjakquijote.png,soyjakvschad_text,memes,Soyjak vs Chad,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/soyjaks-vs-chads
vaughtanimals.png,vaught_animals,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,intelligence,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtballanced.png,vaught_ballanced,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,masculinity,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtears.png,vaught_ears,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,other,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtfaceparts.png,vaught_face_parts,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,other,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughthonesty.png,vaught_honesty,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,other,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughthusband.png,vaught_husband,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,masculinity,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtjawsforeheads.png,vaught_jaws_foreheads,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,intelligence,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtMAGNETISM.png,vaught_MAGNETISM,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,intelligence,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtmasculinity.png,vaught_masculinity,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,masculinity,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtmoral.png,vaught_moral,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,intelligence,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtmother.png,vaught_mother,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,masculinity,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtnoses.png,vaught_noses,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,other,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtroman noses.png,vaught_roman _noses,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,masculinity,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtsanta.png,vaught_santa,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,other,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtspiritmatter.png,vaught_spirit_matter,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,intelligence,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughtthinkerlooker.png,vaught_thinker_looker,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,intelligence,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
vaughttwoheads.png,vaught_two_heads,frenologia,Vaught’s Practical Character Reader ,Louis Allen Vaught,1902,other,https://archive.org/download/vaughtspractical00vaug/vaughtspractical00vaug.pdf
virginchadwiki.png,virginchad_jesus,memes,Virgin vs Chad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/virgin-vs-chad
virginchadjesus.png,virginchad_laotese,memes,Virgin vs Chad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/virgin-vs-chad
virginchadlaotese.png,virginchad_pixel,memes,Virgin vs Chad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/virgin-vs-chad
virginchadpixel.png,virginchad_youtube,memes,Virgin vs Chad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/virgin-vs-chad
virginchadyoutube.png,virginchadwiki,memes,Virgin vs Chad,( ͡° ͜ʖ ͡°),2017,masculinity,https://knowyourmeme.com/memes/virgin-vs-chad
weakestmeatl.png,weakest_meatl,memes,Weakest vs Strongest,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/strongest-man-vs-weakest-man
weakestscottland.png,weakest_scottland,memes,Weakest vs Strongest,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/strongest-man-vs-weakest-man
weakesttv.png,weakest_tv,memes,Weakest vs Strongest,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/strongest-man-vs-weakest-man
weakestukranian.png,weakest_ukranian,memes,Weakest vs Strongest,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/strongest-man-vs-weakest-man
weakestusa.png,weakest_usa,memes,Weakest vs Strongest,( ͡° ͜ʖ ͡°),2020,masculinity,https://knowyourmeme.com/memes/strongest-man-vs-weakest-man
wellsamativeness.png,wells_amativeness,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,intelligence,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellsapprobativenes.png,wells_approbativenes,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,other,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellsbadlyballanced.png,wells_badly_ballanced,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,other,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellsbrain.png,wells_brain,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1870,other,https://archive.org/details/b28135325
wellscalculatingpower.png,wells_calculating_power,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,other,https://archive.org/details/b28135325
wellschadsoyjak.png,wells_chad_soyjak,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,masculinity,https://archive.org/details/b28135326
wellscombativeness.png,wells_combativeness,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,other,https://archive.org/details/b28135327
wellscomparison.png,wells_comparison,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,other,https://archive.org/details/b28135328
wellsconfederates.png,wells_confederates,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,other,https://archive.org/details/b28135329
wellscontinuity.png,wells_continuity,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,intelligence,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellscriminals.png,wells_criminals,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,intelligence,https://archive.org/details/b28135330
wellscultivation.png,wells_cultivation,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,intelligence,https://archive.org/details/b28135331
wellseventuality.png,wells_eventuality,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,intelligence,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellseyebrow.png,wells_eyebrow,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,intelligence,https://archive.org/details/b28135332
wellsforehead.png,wells_forehead,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,intelligence,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellsfriendship.png,wells_friendship,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,intelligence,https://archive.org/details/b28135333
wellsfunction.png,wells_function,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,other,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellsmoral.png,wells_moral,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,other,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellsparentallove.png,wells_parental_love,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,masculinity,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellsskulls.png,wells_skulls,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,intelligence,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellssymbolicalhead.png,wells_symbolical_head,frenologia,How to read character a new illustrated handbook of phrenology and physiognomy for students and examiners,R D B Wells,1868,other,https://archive.org/details/howtoreadcharact00welliala/page/n5/mode/2up
wellsviolence.png,wells_violence,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,other,https://archive.org/details/b28135334
wellsweight.png,wells_weight,frenologia,A new illustrated hand-book of phrenology physiology and physiognomy,R D B Wells,1870,intelligence,https://archive.org/details/b28135335
